Всички,Дирекция,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-09,0130380009 - Дирекция Миграция,,,,,6076.85,,,,,,,,,,,2577.33,,,,,,,,,,8654.18
2012-08-09,013040**** - СДВР,6955.88,,,,,,,,,,,,,,,,,,,,,,,,,6955.88
2012-08-09,013060**** - ГД "Национална полиция",21292,,,,3779.59,,,,,,,,,,,,,,,,,,,,,25071.59
2012-08-09,013070**** - ГД "Гранична полиция",3850,,,,641.4,,,,,,,,,,,1089.54,,,,,,,,,,5580.94
2012-08-09,0131000021 - ОД на МВР - Бургас,,,,,348,,,,,,,,,,,,,,,,,,,,,348
2012-08-09,0131000037 - ОД на МВР - Варна,,,,,18219.01,,,,,,,,,,,879.66,,,,,,,,,,19098.67
2012-08-09,0131000042 - ОД на МВР - В. Търново,2855.59,,,,9.44,,,,,,,,,,,66,,,,,,,,,,2931.03
2012-08-09,0131000058 - ОД на МВР - Видин,4610,,,,1721.4,,,,,,,,,,,,,,,,,,,,,6331.4
2012-08-09,0131000079 - ОД на МВР - Габрово,,,,,8595.45,,,,,,,,,,,,,,,,,,,,,8595.45
2012-08-09,0131000090 - ОД на МВР - Кърджали,,,,,,,,,,,,,,,50,,,,,,,,,,,50
2012-08-09,0131000103 - ОД на МВР - Кюстендил,24370,,,,1627.33,,,,,,,,,,,,,,,,,,,,,25997.33
2012-08-09,0131000119 - ОД на МВР - Монтана,,,,,668.03,,,,,,,,,,,,,,,,,,,,,668.03
2012-08-09,0131000145 - ОД на МВР - Перник,,,,,127.8,,,,,,,,,,,160,,,,,,,,,,287.8
2012-08-09,0131000171 - ОД на МВР - Разград,,,,,5440.44,,,,,,,,,,,,,,,,,,,,,5440.44
2012-08-09,0131000232 - ОД на МВР - Ст.Загора,,,,,3000,,,,,,,,,,,4230.01,,,,,,,,,,7230.01
2012-08-09,0131000269 - ОД на МВР - Шумен,,,,,17440.3,,,,,,,,,,,200,,,,,,,,,,17640.3
2012-08-09,0131000274 - ОД на МВР - Ямбол,,,,,11981.57,,,,,,,,,,,,,,,,,,,,,11981.57
2012-08-09,0133000000 - Държавна агенция за бежанците,13450,,,,879.18,,,,,,,,,,,,,,,,,,,,,14329.18
2012-08-09,013700**** - ГД ПБЗН,53500,,,,18998.64,,,,,,,,,,,34.4,,,,,,,,,,72533.04
2012-08-10,0130310001 - САД "ПУБ",,,,,30,,,,,,,,,,,,,,,,,,,,,30
2012-08-10,013032**** - САД "УССД",28896,,,,62878.71,,,,,,,,,,,71833.53,,,,,,,,,,163608.24
2012-08-10,0130330008 - СД "ОТО",,,,,7470,,,,,,,,,,,,,,,,,,,,,7470
2012-08-10,013034**** - Академия на МВР,2650,,,,5445.53,,,,,,,,,,,,,,,,,,,,,8095.53
2012-08-10,0130350004 - ИСТ,25460,,,,,,,,,,,,,,,,,,,,,,,,,25460
2012-08-10,013036**** - Медицински институт,,,,,5801.01,,,,,,,,,,,10152.97,,,,,,,,,,15953.98
2012-08-10,0130370000 - НСПО - ПУБ Китен,,,,,1000,,,,,,,,,,,13630.06,,,,,,,,,,14630.06
2012-08-10,0130380009 - Дирекция Миграция,20320,,,,1276.26,,,,,,,,,,,45.6,,,,,,,,,,21641.86
2012-08-10,013040**** - СДВР,156795,,,,,,,,,,,,,,,,,,,,,,,,,156795
2012-08-10,013060**** - ГД "Национална полиция",72945,999.16,,,4771.03,,,,,,,,,,,37250.17,,,,,,,,,,115965.36
2012-08-10,013070**** - ГД "Гранична полиция",229630,,,,1243.14,,,,,,,,,,,896.99,,,,,,,,,,231770.13
2012-08-10,0131000016 - ОД на МВР - Благоевград,4430,,,,,,,,,,,,,,,,,,,,,,,,,4430
2012-08-10,0131000021 - ОД на МВР - Бургас,67630,,,,,,,,,,,,,,,,,,,,,,,,,67630
2012-08-10,0131000037 - ОД на МВР - Варна,11190,,,,,,,,,,,,,,,,,,,,,,,,,11190
2012-08-10,0131000058 - ОД на МВР - Видин,,,,,25,,,,,,,,,,,,,,,,,,,,,25
2012-08-10,0131000063 - ОД на МВР - Враца,12470,,,,,,,,,,,,,,,,,,,,,,,,,12470
2012-08-10,0131000079 - ОД на МВР - Габрово,,,,,120,,,,,,,,,,,,,,,,,,,,,120
2012-08-10,0131000084 - ОД на МВР - Добрич,,,,,19659.09,,,,,,,,,,,22118.29,,,,,,,,,,41777.38
2012-08-10,0131000090 - ОД на МВР - Кърджали,50155,,,,,,,,,,,,,,,,,,,,,,,,,50155
2012-08-10,0131000103 - ОД на МВР - Кюстендил,500,,,,,,,,,,,,,,,10501.46,,,,,,,,,,11001.46
2012-08-10,0131000119 - ОД на МВР - Монтана,33230,,,,25792.86,,,,,,,,,,,,,,,,,,,,,59022.86
2012-08-10,0131000124 - ОД на МВР - Ловеч,,,,,28173.86,,,,,,,,,,,,,,,,,,,,,28173.86
2012-08-10,0131000130 - ОД на МВР - Пазарджик,62930,,,,17216.52,,,,,,,,,,,,,,,,,,,,,80146.52
2012-08-10,0131000145 - ОД на МВР - Перник,37850,,,,866.62,,,,,,,,,,,,,,,,,,,,,38716.62
2012-08-10,0131000150 - ОД на МВР - Плевен,24230,,,,,,,,,,,,,,,,,,,,,,,,,24230
2012-08-10,0131000166 - ОД на МВР - Пловдив,25075,,,,,,,,,,,,,,,,,,,,,,,,,25075
2012-08-10,0131000171 - ОД на МВР - Разград,,,,,1498.11,,,,,,,,,,,,,,,,,,,,,1498.11
2012-08-10,0131000187 - ОД на МВР - Русе,5070,,,,34874.44,,,,,,,,,,,,,,,,,,,,,39944.44
2012-08-10,0131000192 - ОД на МВР - Силистра,,,,,2801.28,,,,,,,,,,,18699.91,,,,,,,,,,21501.19
2012-08-10,0131000206 - ОД на МВР - Сливен,63555,,,,,,,,,,,,,,,,,,,,,,,,,63555
2012-08-10,0131000211 - ОД на МВР - Смолян,43655,,,,,,,,,,,,,,,,,,,,,,,,,43655
2012-08-10,0131000227 - ОД на МВР - София,1150,,,,10199.21,,,,,,,,,,,,,,,,,,,,,11349.21
2012-08-10,0131000232 - ОД на МВР - Ст.Загора,35307.76,,,,29845.79,,,,,,,,,,36.6,600,,,,,,,,,,65790.15
